Timestamp,MagneticField_x,MagneticField_y,MagneticField_z
1724728347.840386,-33.160000,5.915000,-25.941000
1724728347.853683,-33.160000,5.915000,-25.936000
1724728347.867542,-33.161000,5.916000,-25.932000
1724728347.881117,-33.158000,5.915000,-25.935000
1724728347.895699,-33.157000,5.913000,-25.937000
1724728347.909353,-33.156000,5.916000,-25.938000
1724728347.924081,-33.159000,5.916000,-25.937000
1724728347.937501,-33.160000,5.916000,-25.933000
1724728347.951105,-33.160000,5.916000,-25.933000
1724728347.965272,-33.160000,5.917000,-25.934000
1724728347.979116,-33.160000,5.917000,-25.937000
1724728347.994189,-33.157000,5.918000,-25.939000
1724728348.007954,-33.156000,5.917000,-25.941000
1724728348.021355,-33.160000,5.917000,-25.941000
1724728348.034906,-33.160000,5.917000,-25.941000
1724728348.048572,-33.160000,5.916000,-25.945000
1724728348.062273,-33.159000,5.919000,-25.945000
1724728348.075516,-33.157000,5.919000,-25.948000
1724728348.089127,-33.157000,5.919000,-25.949000
1724728348.102694,-33.156000,5.920000,-25.950000
1724728348.116237,-33.154000,5.920000,-25.947000
1724728348.129729,-33.155000,5.921000,-25.948000
1724728348.143489,-33.157000,5.919000,-25.949000
1724728348.157292,-33.156000,5.917000,-25.949000
1724728348.171153,-33.157000,5.916000,-25.947000
1724728348.184588,-33.158000,5.917000,-25.939000
1724728348.198321,-33.159000,5.917000,-25.938000
1724728348.212115,-33.161000,5.917000,-25.937000
1724728348.225925,-33.161000,5.916000,-25.937000
1724728348.239594,-33.162000,5.917000,-25.932000
1724728348.253440,-33.163000,5.916000,-25.939000
1724728348.267442,-33.164000,5.915000,-25.936000
1724728348.280997,-33.163000,5.920000,-25.933000
1724728348.294230,-33.163000,5.919000,-25.934000
1724728348.307721,-33.162000,5.923000,-25.940000
1724728348.321600,-33.410000,5.967000,-25.898000
1724728348.335315,-33.659000,6.009000,-25.848000
1724728348.349060,-33.910000,6.053000,-25.799000
1724728348.362441,-34.159000,6.097000,-25.752000
1724728348.376204,-34.408000,6.142000,-25.706000
1724728348.389756,-34.656000,6.187000,-25.656000
1724728348.403446,-34.906000,6.231000,-25.612000
1724728348.416612,-35.040000,6.287000,-25.502000
1724728348.429589,-35.173000,6.346000,-25.388000
1724728348.443620,-35.304000,6.404000,-25.278000
1724728348.456562,-35.189000,6.419000,-25.216000
1724728348.469709,-35.070000,6.435000,-25.151000
1724728348.483311,-34.954000,6.449000,-25.091000
1724728348.496646,-34.835000,6.463000,-25.030000
1724728348.509910,-34.718000,6.476000,-24.972000
1724728348.523374,-34.515000,6.476000,-25.106000
1724728348.536709,-34.309000,6.477000,-25.246000
1724728348.550049,-34.221000,6.460000,-25.454000
1724728348.563239,-34.132000,6.446000,-25.657000
1724728348.576525,-34.046000,6.431000,-25.854000
1724728348.590189,-33.957000,6.416000,-26.050000
1724728348.603607,-33.870000,6.401000,-26.258000
1724728348.617059,-33.678000,6.387000,-26.274000
1724728348.630506,-33.487000,6.372000,-26.291000
1724728348.643850,-33.297000,6.358000,-26.304000
1724728348.657395,-33.191000,6.358000,-26.123000
1724728348.670816,-33.089000,6.357000,-25.932000
1724728348.684270,-32.986000,6.359000,-25.745000
1724728348.698791,-32.884000,6.358000,-25.561000
1724728348.712329,-32.781000,6.357000,-25.376000
1724728348.725535,-32.752000,6.358000,-25.164000
1724728348.738838,-32.722000,6.357000,-24.944000
1724728348.752256,-32.790000,6.358000,-24.912000
1724728348.765604,-32.864000,6.360000,-24.880000
1724728348.779382,-32.936000,6.357000,-24.852000
1724728348.792990,-33.011000,6.357000,-24.820000
1724728348.806408,-33.085000,6.357000,-24.796000
1724728348.819465,-33.143000,6.371000,-24.888000
1724728348.833022,-33.201000,6.390000,-24.983000
1724728348.846356,-33.259000,6.407000,-25.072000
